iter	Passed	Remaining
142	3716	256198
143	3736	255745
144	3756	255340
145	3777	254938
146	3795	254388
147	3816	254054
148	3836	253639
149	3867	253941
150	3897	254245
151	3917	253820
152	3938	253448
153	3957	253011
154	3976	252592
155	3995	252138
156	4015	251778
157	4036	251465
158	4056	251100
159	4080	250924
160	4118	251668
161	4139	251409
162	4161	251155
163	4180	250727
164	4201	250457
165	4220	250051
166	4241	249735
167	4261	249426
168	4281	249069
169	4313	249441
170	4335	249225
171	4355	248844
172	4376	248573
173	4396	248265
174	4418	248053
175	4437	247693
176	4457	247393
177	4478	247097
178	4498	246795
179	4519	246545
180	4549	246803
181	4570	246564
182	4592	246387
183	4612	246080
184	4633	245838
185	4654	245609
186	4674	245293
187	4693	244974
188	4713	244663
189	4747	245107
190	4767	244846
191	4788	244629
192	4808	244337
193	4830	244182
194	4850	243892
195	4870	243599
196	4888	243278
197	4908	242984
198	4928	242710
199	4948	242456
200	4974	242529
201	5000	242530
202	5022	242405
203	5042	242133
204	5061	241837
205	5079	241510
206	5100	241277
207	5120	241051
208	5141	240851
209	5159	240551
210	5182	240441
211	5211	240604
212	5233	240480
213	5253	240230
214	5273	239996
215	5293	239776
216	5314	239586
217	5334	239385
218	5354	239144
219	5375	238946
220	5408	239314
221	5436	239436
222	5457	239269
223	5476	239016
224	5496	238774
225	5518	238652
226	5539	238480
227	5559	238282
228	5579	238081
229	5600	237882
230	5620	237686
231	5657	238201
232	5679	238092
233	5700	237921
234	5721	237756
235	5740	237503
236	5758	237215
237	5777	236965
238	5798	236815
239	5819	236643
240	5852	236983
241	5874	236880
242	5896	236764
243	5917	236595
244	5937	236395
245	5958	236252
246	5979	236108
247	6000	235944
248	6021	235823
249	6053	236097
250	6077	236039
251	6099	235959
252	6118	235731
253	6139	235559
254	6160	235427
255	6180	235262
256	6201	235101
257	6221	234907
258	6255	235256
259	6278	235185
260	6301	235128
261	6324	235051
262	6343	234869
263	6361	234603
264	6382	234470
265	6403	234346
266	6422	234115
267	6443	233973
268	6465	233874
269	6600	237877
270	6618	237623
271	6639	237462
272	6660	237318
273	6689	237439
274	6719	237614
275	6740	237497
276	6760	237314
277	6780	237120
278	6797	236850
279	6818	236691
280	6837	236487
281	6858	236342
282	6879	236203
283	6900	236079
284	6937	236487
285	6963	236505
286	6984	236378
287	7002	236143
288	7023	236006
289	7045	235890
290	7066	235752
291	7087	235632
292	7107	235471
293	7127	235314
294	7148	235171
295	7184	235542
296	7207	235463
297	7227	235296
298	7246	235098
299	7266	234934
300	7284	234735
301	7304	234557
302	7323	234384
303	7345	234273
304	7365	234141
305	7389	234082
306	7417	234201
307	7444	234265
308	7466	234180
309	7487	234051
310	7507	233885
311	7527	233748
312	7545	233539
313	7564	233346
314	7585	233234
315	7602	232983
316	7623	232868
317	7663	233321
318	7689	233350
319	7709	233212
320	7730	233106
321	7751	232990
322	7772	232870
323	7793	232754
324	7813	232598
325	7834	232478
326	7855	232368
327	7884	232494
328	7912	232590
329	7935	232533
330	7955	232399
331	7976	232277
332	7996	232148
333	8017	232026
334	8037	231875
335	8056	231726
336	8079	231659
337	8110	231838
338	8131	231741
339	8154	231687
340	8175	231582
341	8197	231507
342	8217	231352
343	8237	231225
344	8257	231089
345	8277	230953
346	8297	230827
347	8318	230728
348	8351	230937
349	8377	230971
350	8396	230825
351	8417	230719
352	8435	230534
353	8456	230429
354	8478	230355
355	8499	230260
356	8528	230367
357	8556	230463
358	8577	230354
359	8598	230250
360	8618	230120
361	8638	229990
362	8659	229895
363	8681	229811
364	8700	229665
365	8720	229556
366	8739	229403
367	8775	229687
368	8796	229603
369	8817	229497
370	8837	229378
371	8857	229241
372	8877	229124
373	8897	229015
374	8918	228907
375	8938	228788
376	8956	228611
377	8975	228473
378	9006	228629
379	9031	228644
380	9052	228554
381	9073	228462
382	9093	228346
383	9113	228222
384	9134	228133
385	9154	228016
386	9174	227895
387	9195	227812
388	9216	227711
389	9250	227947
390	9272	227864
391	9291	227742
392	9312	227642
393	9332	227535
394	9356	227509
395	9377	227420
396	9397	227305
397	9419	227242
398	9450	227402
399	9468	227241
400	9490	227184
