iter	RMSE
1193	0.6179165115
1194	0.6179161782
1195	0.6179138936
1196	0.6179120243
1197	0.617907163
1198	0.6179057915
1199	0.617900169
1200	0.6178969092
1201	0.6178947929
1202	0.6178930638
1203	0.6178922034
1204	0.6178886813
1205	0.6178812321
1206	0.6178812316
1207	0.617879044
1208	0.6178740787
1209	0.6178733468
1210	0.6178620903
1211	0.6178604607
1212	0.61786031
1213	0.6178575526
1214	0.6178560099
1215	0.6178507538
1216	0.6178484372
1217	0.6178473816
1218	0.6178450599
1219	0.6178369688
1220	0.6178349548
1221	0.6178344153
1222	0.6178268028
1223	0.6178252915
1224	0.6178246506
1225	0.6178231278
1226	0.617818846
1227	0.6178155842
1228	0.6178155839
1229	0.6178141455
1230	0.6178103588
1231	0.6178084438
1232	0.6178061265
1233	0.6177868797
1234	0.6177788683
1235	0.6177780424
1236	0.6177768474
1237	0.6177712162
1238	0.617771216
1239	0.6177681844
1240	0.6177679849
1241	0.6177569064
1242	0.6177542312
1243	0.6177508174
1244	0.6177504955
1245	0.6177479026
1246	0.6177404148
1247	0.6177386807
1248	0.6177368612
1249	0.6177362503
1250	0.6177329447
1251	0.6177322242
1252	0.6177288376
1253	0.6177253232
1254	0.6177216398
1255	0.6177210785
1256	0.6177196959
1257	0.617717717
1258	0.617715778
1259	0.6177135103
1260	0.6177091643
1261	0.6177081594
1262	0.6177050548
1263	0.6177035876
1264	0.6177000233
1265	0.6176974836
1266	0.6176923021
1267	0.6176900246
1268	0.6176849451
1269	0.6176845138
1270	0.6176841496
1271	0.6176834051
1272	0.6176757356
1273	0.6176743924
1274	0.6176726638
1275	0.6176697022
1276	0.6176653039
1277	0.6176645212
1278	0.6176616475
1279	0.6176568646
1280	0.6176551682
1281	0.6176540992
1282	0.6176533627
1283	0.6176491366
1284	0.6176475324
1285	0.6176426643
1286	0.6176374014
1287	0.6176344888
1288	0.6176341692
1289	0.617632602
1290	0.617632178
1291	0.6176248421
1292	0.6176231879
1293	0.6176201088
1294	0.6176104314
1295	0.6176095576
1296	0.6176077085
1297	0.6176077082
1298	0.6176044855
1299	0.6175936615
1300	0.6175893254
1301	0.6175835869
1302	0.6175821881
1303	0.6175819712
1304	0.6175808188
1305	0.6175793031
1306	0.6175771979
1307	0.6175758275
1308	0.6175739922
1309	0.617573228
1310	0.6175703379
1311	0.6175687974
1312	0.6175664337
1313	0.6175657974
1314	0.6175646684
1315	0.6175623861
1316	0.6175611463
1317	0.6175589939
1318	0.6175584373
1319	0.6175581178
1320	0.617556969
1321	0.6175512123
1322	0.6175510541
1323	0.6175479926
1324	0.6175456685
1325	0.6175398901
1326	0.617539285
1327	0.6175332082
1328	0.6175314422
1329	0.6175311223
1330	0.6175302858
1331	0.6175235512
1332	0.6175225189
1333	0.6175215271
1334	0.6175188732
1335	0.6175165453
1336	0.6175141526
1337	0.6175118142
1338	0.6175093942
1339	0.6174936076
1340	0.6174909837
1341	0.6174894754
1342	0.6174873194
1343	0.6174864737
1344	0.6174823428
1345	0.6174721976
1346	0.6174705555
1347	0.6174680265
1348	0.6174626316
1349	0.6174610859
1350	0.6174587428
1351	0.6174574525
1352	0.6174535039
1353	0.6174515715
1354	0.6174505583
1355	0.6174463391
1356	0.617436832
1357	0.6174363728
1358	0.6174356569
1359	0.6174330862
1360	0.6174320268
1361	0.6174241645
1362	0.6174168118
1363	0.6174152919
1364	0.6174139268
1365	0.617410613
1366	0.6174064382
1367	0.617400526
1368	0.6173978537
1369	0.6173978524
1370	0.617397701
1371	0.6173960317
1372	0.6173926844
1373	0.6173894111
1374	0.6173884056
1375	0.6173884053
1376	0.6173869476
1377	0.6173861984
1378	0.6173842324
1379	0.6173825672
1380	0.6173763698
1381	0.6173680529
1382	0.6173661462
1383	0.6173647183
1384	0.6173627642
1385	0.6173596308
1386	0.6173577711
1387	0.6173563608
1388	0.6173527098
1389	0.6173514723
1390	0.6173472766
1391	0.617346648
1392	0.6173466479
1393	0.6173449992
1394	0.6173438514
1395	0.6173406671
1396	0.6173381385
1397	0.6173374135
1398	0.6173374133
1399	0.6173364198
1400	0.6173344975
1401	0.6173320083
1402	0.6173320082
1403	0.6173254877
1404	0.6173220798
1405	0.6173220796
1406	0.617318579
1407	0.6173175007
1408	0.6173156469
1409	0.6173131266
1410	0.6173131248
1411	0.6173125789
1412	0.6173083255
1413	0.6173057178
1414	0.6173053024
1415	0.6173007602
1416	0.6172966755
1417	0.6172948415
1418	0.6172924897
1419	0.6172918385
1420	0.6172908722
1421	0.6172838142
1422	0.617276658
1423	0.6172752173
1424	0.617268662
1425	0.6172637743
1426	0.6172637739
1427	0.6172606151
1428	0.6172557636
1429	0.6172556432
1430	0.6172533045
1431	0.6172496696
1432	0.6172473713
1433	0.6172456008
1434	0.6172416258
1435	0.6172359744
1436	0.6172341524
1437	0.6172341523
1438	0.6172328025
1439	0.6172324809
1440	0.6172302928
1441	0.6172301016
1442	0.6172288068
1443	0.617227949
1444	0.617227123
1445	0.6172267258
1446	0.6172248325
1447	0.6172171641
1448	0.6172171641
1449	0.6172109449
1450	0.6172092728
1451	0.617208632
1452	0.6172050048
1453	0.6172026303
1454	0.6172018102
1455	0.6171989725
1456	0.6171954362
1457	0.6171910609
1458	0.6171910607
1459	0.6171909691
1460	0.6171878735
1461	0.6171837167
1462	0.6171809182
1463	0.6171806675
1464	0.6171780748
1465	0.6171748215
1466	0.6171720359
1467	0.6171714092
1468	0.6171700109
1469	0.6171700105
1470	0.6171693006
1471	0.6171685337
1472	0.6171667695
1473	0.6171625843
1474	0.6171610706
1475	0.6171589576
1476	0.6171580377
1477	0.6171570979
1478	0.6171563421
1479	0.6171558039
1480	0.6171536592
1481	0.6171510036
1482	0.6171483565
1483	0.617148356
1484	0.617148175
1485	0.6171464565
1486	0.6171448997
1487	0.617140814
1488	0.6171391704
1489	0.617138536
1490	0.6171319644
1491	0.6171311784
1492	0.617128938
1493	0.6171273022
1494	0.617127302
1495	0.61712525
1496	0.6171252498
1497	0.6171246342
1498	0.6171241874
1499	0.6171231613
1500	0.6171213273
1501	0.6171208426
1502	0.6171205817
1503	0.6171182144
1504	0.6171164287
1505	0.6171156974
1506	0.6171127415
1507	0.6171113121
1508	0.6171086205
1509	0.6171002
1510	0.6171000399
1511	0.6170970228
